19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,14,7,7,7,7,7,7,7,7,7,7,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
19,19,19,19,19,19,19,19,14,9,19,19,19,19,19,19,19,19,19,19,8,19,19,19,19,19,19,19,19,19,19,19,19,19,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,14,9,19,25,19,19,19,19,19,19,19,19,25,19,8,19,19,19,19,19,19,19,19,19,19,19,9,19,50,19,19,19,19,19,19,19,19,19,19,19,19,19,19
7,7,7,7,7,7,7,9,19,19,43,43,43,19,19,19,19,43,43,43,19,19,8,19,19,19,19,19,19,19,19,19,9,19,19,43,43,43,43,19,19,19,19,19,19,19,19,52,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,8,7,7,7,7,7,7,7,9,19,19,19,19,19,19,19,19,19,19,19,19,19,43,43,43,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,43,43,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,35,35,35,35,35,35,35,35,37,19,19,19,43,43,19,19,19,19,19,43,43,43,19,19,19,19,19
35,35,35,35,35,35,35,37,19,19,43,43,43,19,19,19,19,43,43,43,19,19,35,19,19,19,19,19,19,19,19,19,37,19,19,19,19,19,19,19,19,19,51,19,19,19,19,19,19,19
19,19,19,19,19,19,19,12,37,19,19,19,19,19,19,19,19,19,19,19,19,35,19,19,19,19,19,19,19,19,19,19,19,37,19,19,19,19,19,43,43,43,43,19,19,19,19,19,19,19
19,19,19,19,19,19,19,19,12,37,19,19,19,19,19,19,19,19,19,19,35,19,19,19,19,19,19,19,19,19,19,19,19,19,37,19,19,19,19,19,19,19,19,19,19,19,19,53,19,19
19,19,19,19,19,19,19,19,19,12,35,35,35,35,35,35,35,35,35,35,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,35,35,35,35,35,26,26,26,26,43,43,43,43,19,19
